kwookwilkwowit,	kwookwilkowit,
Ajá.	Aja.
nejó:n, a:mo, a:mo n'matia komohkó:n e:xpa se: kime:wa.	este, no, no sabía si se limpia tres veces.
Achto no: nankito:nalwa:tsah.	Antes también lo secan en el sol.
se: tawehwelowa ya ne:n toxa:ntohi:xpan se: ke:wa xo:chitsí:n	ya descompone uno en nuestro altar guarda uno la flor
Pero sepa se: kwa:tsa.	Pero lo seca uno de nuevo.
A:, ompa n' tikwa:tsa.	A, ahí lo secamos.
A:, n' tike:wa ya.	A ya lo guardas.
Wa:n yehwa ya nankitepe:wah. A:, pos neli. Ke:mah, neh a:mo n'matia komohko:ni no: se: kime:wa, nejó:n, e:xpa. Neh,	Y ya es lo que riegan. A pues es verdad. Si, yo no sabía si es que también lo limpia uno, este tres veces. Yo,
Ke:mah.	Si.
Kwaltsitsi:n xo:chit.	Son bonitas las flores.
poso:ni neli poso:ni miak. Eheh, achichi i:n se: kitehteki,	florece de verás, florece mucho. Aja, de este tamaño lo corta uno,
A:, yehwa sah nankitekih, nankihitah ompa ya. A:, pos neli.	A, es lo único que cortan, ya lo seleccionan ahí. A pues es verdad.
Yehwa sah. Se: kipehpena.	Eso es todo. lo recoge uno.
A:, se: kihita wa:n yehwa ya se: kikwi para ika se: tachihchi:wa ya.	A lo selecciona uno y ya es lo que se ocupa para adornar.
Iwki motohtokatiw.	Así se van siguiendo.
Wa:n seki se: kichi:wa tein achi no:nohne:l ihkwí:n achi no:no:nohne:l. Ihkó:n motohtokatiw, ihkwí:n kwa:kwa:pahpata:wak chi:wi.	Y unos lo hacen los que son chiquuitos así, así de chiquitos. Así se van siguiendo, así queda con la punta ancha.
A:, yehwa n' iwa:n nankihilpiah.	A ya con eso lo amarran.
Iwa:n.	Junto con.
Wa:n ke:mah, iwki a nantamitachihchi:wah ya.	Y entonces, ya es así como terminan de adornar.
A:, n' ihwa:k.	A ese día.
A:, sepa nantachihchi:wah.	A adornan de neuvo.
Yehwa ya nankita:liah.	Ya es lo que ponen.
A:, pos neli.	A pues es verdad.
A:, sepa nantachihchi:wah.	A otra vez adornan.
Ke:mah, nochi.	Si, todo.
Eheh. De e:xpaka: titachihchi:wah ya.	Aja. Ya adornamos por tercera vez.
A:, pos e:xpa nantachihchi:wah. E:xpa. Mm. Wa:n i:pa nochi nankihitatiwih xo:chitsí:n.	A pues adornan tres veces. tres veces. Aja. Si. Y siempre van escogiendo todas las flores.
E:xpa se: tachihchi:wa. Mm.	Adorna uno tres veces. Si.
Ke:mah, se: kihitatiw xo:chitsí:n. Se: kihita. Eheh. Ihkwa:k titachihchi:wah,	Si, va uno escogiendo las flores. Lo escoge uno. Aja. Cuando adornamos,
ihkwa:k titachihchi:wah kalte:noh.	ese día areeglamos en la entrada de la casa.
A:, kalte:noh ya.	A ya en la entrada de la casa.
¿Ne:, pos namehwa:n ka:n nankikwih yo:n tein kilwiah xa:ntohkowit?	¿Pues este ustedes no ocupan eso que le llaman palo del altar?
Ajá. Wa:n i:n oksé: n' ika nantachihchi:wah.	Aja. Y con el otro adornan. 
A:, n' kalte:noh ya. A:, pos neli.	A, ya en la entrada de la casa. A pues es verdad.
A:, pos neli. ¿Iwki a? ¿Iwki a?	A pues es verdad. ¿Ya es así? ¿Ya es así?
Tasohka:matik miak ke:mah. Neh nimono:tsa María Salazar Osollo, niwi:tsa de San Miguel.	Muchas gracias si. Yo me llamo María Salazar Osollo, vengo de San Miguel Tzinacapan.
Eheh. Ne:, neh niwi:tsa Xalpantzingo, nimono:tsa María Guadalupe Vázquez.	Aja. Este, yo vengo de Xalpanztingo, me llamo María Guadalupe Vázquez.
ne:, se: kichi:wa, ne:, se: kiki:xtilia ne:n kowit,	este, lo que se hace, este, se extrae del árbol,
wa:n ta:ká:n timokokowa	y si estás enfermo
mitskwik te:mpala:n, entó:s yo:n okwiltsí:n,	padeces de aftas bucales, entonces el gusanito,
Kwaltsi:n t'malakachowa,	Le das vueltas, 
entó:s pe:wa eheke:wi a mokanihtik. Eheke:wi a, ki:sa ya yo:n palaktik.	entonces empieza a sanar dentro de tu boca. Ya se desprende lo que se encuentra perjudicado.
Komo mitsna:miki entó:s se:,	Si te hizo efecto entonces un,
Se: kimalakachowa ihkó:n	Se aplica dándole vueltas así
A:mo ne:, yeh ke:mah, se: kimowilia,	No este, de ese animal se le tiene miedo,
ika tika:wa ya.	con eso lo dejas de usar.
pos ika t'chipa:wa n' ite:noh m' pili, ika, ne:n, ichkat.	pues limpias al niño dentro de su boca con el algodón.
entó:s tikta:lilia n' ichkat. Tikta:lilia n' ichkat,	entonces lo limpias con algodón. Lo limpias con algodón,
Ke:meh tikwi:ka ihkó:n moka:wa.	Así como vas limpiando, así va quedando.
nochi ehke:wik a,	ya se desprendió todo,
Ista:k te:mpala:n moka:wa mahyá: tixti se: ikanko.	Las aftas bucales de color blanco, se pega como si fuera masa dentro de la boca.
Wa:n chi:chi:lte:mpala:n, chi:chi:le:wi se: ikanihtik.	Y las aftas bucales de color rojo, se vuelve todo rojo dentro de la boca.
Mahyá: yo:n chi:le:wat.	como si fuera cáscara de chile maduro.
Yehwa yo:n mono:tsa chi:chi:lte:mpala:n. Wa:n ista:k te:mpala:n,	Esos son los que se les llama aftas bucales de color rojo. Y las aftas bucales de color blanco,
mahyá: yo:n nochi tixti moka:wa mokanihtik.	son los que se tienden como masa blanca dentro de la boca.
I:xpohposo:ni.	Se hinchan.
entó:s nochi ki:sas. Ki:sas.	entonces todo se va a desprender. Se va a despprender.
wa:n ke:mah pe:wa ya kwi:ka ya, kwi:ka ya.	y entonces lo va desprendiendo, lo va desprendiendo.
soh tikita ya ne: komo ke:ní:w wa:n komo chi:chi ok m' pili,	nada más lo revisas como va quedando y si el niño todavía le dan de mamar,
entó:s tikmaka ya, ne:n, chi:chih	entonces ya le das de mamar
Ihko:ni se: kinta:lilia.	Así los cura uno.
A:man ne: nika:n i:n,	Ahora acá este,
tikmatih nochi m' pahti, pero mah nikihto,	sabemos todo lo que es la medicina, pero que yo diga,
pos yeh no: taman n'mati, yeh no: taman kimati.	ella lo sabe de otra forma, ella lo sabe de otra forma.
Entó:s yekintsi:n yeh kwali no: tikakili:skeh ya, ton te:chilwi:s, ke:ní:w yeh	Entonces ahora también podemos escuchar qué nos va a platicar, cómo ella
kimati, ke:ní:w kitekiti:ltia.	lo sabe, cómo lo usa.
Ke:mah, yehwa yo:n.	Sí, eso es.
tikte:moliah ke:ní:w eski para, ne:, mah, ne:,	le buscamos cómo va a ser para que este, este
i:ksá: tikwi:kah nochi iwa:n, ne:n,	a veces lo llevamos todos con los,
tapahtia:nih wa:n i:ksá: a:mo kinina:miki.	doctores y a veces no les hace efecto.
mah ne: ompaka sah, ne: mah se: kimpahti ihkó:n kalihtik, ika teihsá: ihkó:n,	que se curen ahí nada másen la casa, con algo que sean, 
Pahti.	Es medicinal.
Tana:miki no: wa:n,	Hace efecto y,
Ke:mah yeh.	Así es. 
Ke:mah.	Sí.
iwki tikimpahtiah topiliwa:n.	así curamos a nuestros hijos.
Mm. Ke:mah.	Mm. Así es.
Ke:mah ihkó:n, ihkó:n neli.	Sí así es, de veras así le hacemos.
San Miguel Tzinacapan. Mm.	San Miguel Tzinacapan. Mm.
Pero neh nimonotsa niMaría Ocotlán. Mm.	Pero yo me llamo María Ocotlán. Mm.
ne:n taxkaliswatsí:n, neli,	pues la verdad que el taxkaliswat
ka:mpa mochi:wa semi kwaltsitsi:n.	donde adapta se da muy bien.
nikwelita no:,	también me gusta,
komo nikahsis mah nikteki wa:n mah nikta:taxkalo.	si encontraba esas hojas que las cortara y que las jugara con las manos simulando haciendo tortillas.
iselotsi:n wa:n niahsi kalihtik ompa ika nitahmattok, ke:meh,	las hojas tiernas y llegando a la casa ya jugaba con eso, como
Wa:n motaxkal kihtowa:ya kwaltsi:n oksis wa:n tikohokxiti:s.	Y así, en el futuro echarás buenas tortillas y bien cociditas.
Pero,	Pero,
ika, ne:n, tapahti:lis,	de los remedios,
ke:meh yo:n pili kikwi ne: yo:lsawa:ni.	como para cuando un niño tiene bronquitis.
Entó:s mah se: kita:lili refi:noh,	Entonces se le pone aguardiente,
wa:n mah se: kikawa:nti yo:n xiwtsí:n wa:n mah se: kilpili ohka:n.	y se calienta esa hoja y posteriormente se le amarra en dos lados.
Mah se: kilpili i:xpampa wa:n se: kilpili i:ka:mpa.	Se le amarra por enfrente y por la espalda.
Entó:s de yo:n tikilpili:ti a n' ii:ka:mpa,	Y cuando ya se le amarra por la espalda,
wa:n tikochte:ka ya mopili.	y ya haces dormir a tu hijo.
Entó:s komo mi:to:nia,	Entonces si es que suda,
entó:s kina:mikiti nejó:n xiwtsí:n.	entonces quiere decir que le alivió ese remedio con hojas.
i:ksá: se: moita a:mo xpia tomi:n wa:n,	las cosas se ponen dificiles por nno tener dinero y
Moneki tomin.	Si, se necesita dinero.
pos ihkó:n ne: neh nikte:te:kilia:ya ihkó:n refi:noh tohtoto:nik wa:n yehwa ika yo:n xiwtsí:n ne:	pues le ponia aguardiente caliente junto con esas hojas,
nikta:lilia ne:n iyo:li:xko wa:n iyo:li:ka:n.	se las ponia en su pecho y en su espalda.
Ke:mah.	Si.
yeh a:mo mokwehsowa para yehwa, ta: yeh mokwehsowa para tehwa ya.	no se fijaban por ellas, sino que se fijaban por uno.
a:man tiwelik a, a:man xne:chwa:nti a, xne:chtamaka ya no:. A:mo.	no voy a decir: Ahora que ya puedes dame de comer a mi, no.
tiwelkeh n' tochi:walis ika ne: yo:n taxkaltsí:n.	si aprendimmos bien todos nuestros quehaceres de la cocina.
Neli ne:, no: kwaltsi:n se: kokxitia.	Si, de verdad que si sabe uno, se cocen bien.
xiwtsí:n para ke:meh i:n opochehkat.	esas hojas sirven para curar la bronquitis.
Kimpahti[a], pahti nika:n.	Les alivia, aqui se usa para remdio.
Ika neh ne: nopili, ne: yehwa sah n' ika n'pahtia:ya wa:n	Mi hijo solo lo curaba con eso,
neli i:ksá: se: kiniwi:ka ne:,	de verdad que a veces los lleva uno,
kiniwa:lmakah miak pahti kite:te:miliah wa:n a:mo nochipa tana:miki niman.	y les dan muchas medicinas y a veces no se alivian pronto.
xiwtsí:n sah komo se: kikwito wa:n se: kita:lilia wa:n no:,	nada más haciendo el remedio con las hierbas también
Tana:miki.	Si alivia.
Tana:miki neli wa:n neli pos ne:,	Es efectiva y pues de verdad,
Mm. Yehwa sah.	Si. Eso es todo.
Wa:n i:ksá: neli ompa tiki:sah. Seki t'pahtiah n' topili pos tana:miki.	Y a veces resulta positivo el remedio. Unos podemos curar nosotros mismos a nuetros hijos. 
Ke:mah pos,	Si, pues
A:man i:n neli pahti a nopilitsi:n pos no: se: mowelita ya.	Y cuando ya se cura el niño pues también ya anda a gusto.
Ta: ihkó:n.	Pues así es.
pos ika yo:n neli se: motsakwilia ya.	por el dinero es que a veces uno se detiene de no ir con algun doctor.
Ke:mah yeh.	Si, asi es.
Niwa:le:w Xaltipan, nimono:tsa María Ocotlán,	Me llamo María Ocotlán y vengo de Xaltipan,
Neh niwa:le:wa ne: San Miguel Tzinacapan, neh nimono:tsa niMaría Juárez Salgado.	Yo me llamo María Juárez Salgado y vengo de la comunidad de San Miguel Tzinacapan.
tiki:xmattok ne: yo:n xiwtsí:n ata no: kikwih pahti para, ne:n,	conoces esa planta que también la usan para curar, este,
para teihsá: ihkó:n se: kokolis te:ahsi.	para algo así cuando uno padece de alguna enfermedad.
Yo:n kiliah tsope:likxiwit.	Esa hierba que le llaman <i>tsope:likxiwit</i>.
Ke:mah.	Sí.
tehwa:tsi:n, ke:ní:w ne: mono:tsa, ke:ní:w, ke:ní:w toni n' kipahtia?	usted, este como se llama, cómo, cómo ¿para qué enfermedad se puede curar?
Entó:s yehwa yo:n,	Entonces esa planta es,
Yehwa yo:n neh nikmati para yo:n xiwtsi:ni ne:n pahti.	Eso es lo que yo sé de esa planta que es medicinal.
Ke:mah.	Sí.
Ke:mah.	Sí.
toni m' pahyotsi:n tikwis para yehwa yo:n. Yo:n ke:meh,	plantas medicinales que debes ocupar para eso. Eso es como,
tehwa:tsi:n tikit[ow]a ke te:maniliah yo:n xiwtsí:n. Ke:mah, te:maniliah,	usted lo dice que hierven las hojas de esa plata. Sí, las hierven,
i:ksá:	a veces
para ne:n kalanemi:lis,	para curar la diarrea,
no: semi pahti ika.	también es muy buen remedio para curar.
wa:n mah te:tai:lti:kan, mah, mah, ke:meh eskia mah tsokowa:ki,	y que le den de tomar a uno, deben esperar que reduzca el agua,
mah tsokowa:ki wa:n ke:mah ne: te:maniliah wa:n se: te:makah ya.	debe reducir en el momento que este hirviendo y le dan de tomar a uno.
Mah se: tai. Wa:n de se:, se: tami tai, ke:mah ne: komo se: kimachilia tamati:ya ya se: iihtik	Uno debe tomarlo. Y después de tomar, si uno siente que se calma el dolor estomacal
Pero komo a:mo tamati:ya pos a:mo mitsna:mikis.	Pero si no se calma el dolor es porque no te está haciendo efecto.
Pero niman sepa kichi:wah, kichi:wah, ne:, achi miak ya,	Pero luego vuelven a preparar, preparan pero vuelven a juntar más hierbas todavía,
motsikowa, tikihtowah motsikowa toihtik tehwa:n tisiwa:meh,	a nosotras las mujeres decimos que se detiene nuestra regla,
entó:s yo:n kwali no: kikwih para se:, se: pahtsí:n.	entonces esa planta también la usan para curar.
para ne: i:ksá: no: ika motsakwilia.	porque a veces también se detiene con eso.
Mm. Ke:mah, yehwa yo:n neh no: nikmattok de yo:n xiwtsí:n neli para	Mm. Así es, yo sé también que esa plantita se ocupa para curar
ma:ski tikihtowah tipahtih ya, pero i:ksá: a:mo poliwi toni ika se: motanawia wa:n	aunque decimos que ya nos curamos, pero a veces no falta con qué se puede provocar una recaída y
Ke:mah. Yehwa yo:n.	Sí. Eso es.
ke:meh yehwa:ntsitsi:n nika:n tokni:wa:n,	como las personas que se encuentran acá, 
no: kinekih kimatiskeh tohtoni n' tehwa:n toma:se:walpah.	también quieren saber cuáles son las plantas que utilizamos para curarnos.
se: kwali, [sa]ke:ra ka:n e:yi, na:wi taktso:n wa:n	un buen, siquiera tres, cuatro matas y
tepitsi:n, ne:, motokotsowa ya n' a:tsí:n pos titaih ya.	se reduce un poco el agua y ya te la tomas.
Wa:n komo te:chna:miki pos semi no: timowelitah ya.	Y si nos hace efecto pues ya nos sentimos muy a gusto.
tehwa:n sah nika:hkwí:n timote:moliah tein onkak nika:wí:n xiwtsitsí:n.	nosotras buscamos las plantas medicinales que se dan por aquí.
Ke:mah, ke:mah ne: komo	Sí, si este
Entó:s de yo:n timotai:ltiah,	Entonces después de haber tomado,
semi, semi fieroh sah. Kwaltsi:n tihkakeh wa:n kwaltsi:n timoketsah,	es muy, es muy feo. Nos presentamos muy bien y andamos bien,
kwaltsi:n timonohno:tsah pero n' tokokolis tehwa:n oksé:, a:mo ke:meh se:,	platicamos muy bien pero la enfermedad de nosotras es diferente, no es lo mismo como un,
Pero tehwa:n a:mo, tehwa:n oksé: kokolis tikpiah.	Pero nosotras no, nosotras tenemos otra enfermedad.
Ke:mah. Uhuh.	Sí. Uhuh.
Ke:mah, tehwa:n oksé:,	Sí, nosotras somos otra.
Ihkó:n pos.	Pues así es.
pos de te:n tikmatih, yehwa sah neji:ni de n' xiwtsí:n de n' tsope:likxiwit.	pues de lo que sabemos es todo de esta hierba que es el <i>tsope:likxiwit</i>.
Ke:mah, yehwa sah yo:ni ne: tikmatih neli wa:n	Sí, es cierto que eso es todo lo que sabemos y.
Pos, ne:, timokowiliah, ne:n,	Pues, este, compramos la,
nekaxa:n wa:n,	espinocilla y
Entó:s ika yo:n te:chna:miki a nochi a.	Entonces con eso ya nos aliviamos.
tikte:mowah xiwtsitsí:n para ihkó:n pos neli yehwa i:ksá: tana:miki a.	buscamos las plantas porque a veces esas son las que curan a un paciente.
Tana:miki. I:ksá: tana:miki, te:chna:miki a wa:n	Son efectivas. A veces nos curamos, nos curamos y
Pos moneki mah se: kwi:ka miak n' tomi:n.	Pues es necesario llevar mucho dinero. 
mah se: kinechiko para no: se: motokihtiá:s ompa ya. Pero nika:n i:n, ika i:n ma:se:walpahtsí:n pos neli ne:	hay que ahorrar para acudir a ese lugar. Pero aquí nuestras plantas medicinales pues de verdad este
ika tepitsi:n wa:n se:, tepitsi:n se: ye:ktamati a.	con un poquito y ya se siente uno mejor.
Ke:mah.	Sí.
[K]e:mah.	Sí.
Neh nimono:tsa María Juárez Salgado.	Yo me llamo María Juárez Salgado.
Niwi:tsa de San Miguel Tzinacapan.	Vengo de San Miguel Tzinacapan.
Ne:, yo:n tsotsolpahxiwit tikilwiah,	La planta que le llamamos tsotsolpahxiwit,
no: tikwih ne: para pahtsí:n.	también la usamos para curar.
timotsontekih wa:n a:mo teh kina:miki koyo:pahti.	cortamos y no sana la herida con la medicina de farmacia. 
Entó:s se: kitekiti wa:n se: kipi:ki ika se: imetstsí:n	Entonces se cortan las hojas y con ellas cubrimos el pie
nejó:n wa:kik ya,	este ya se secaron,
Wa:n komo a:mo mitsna:miki mahyá: mi:to:nia.	Y si no te hacen efecto se hacen las hojas como si sudaran.
Selia momets oso	Se empeora la herida de tu pie o
Pero komo mitsna:mik kwaltsi:n tewa:ki.	Pero si te hicieron efecto queda bien secas.
Wa:n ke:mah x'ki:xtili a, x'toma wa:n x'ki:xtili a.	Y luego desátalas y saca las hojas. 
De tiki:xtilia,	Después de quitar las hojas,
a:mo, a:mo nikihto:s eliwis timoaha:wia.	no, no debes mojarte la parte afectada. 
A:toto:n.	Agua hervida.
Ompa de yo:n ika timopa:ka ya,	Después de lavar la herida,
wa:n ke:mah xmote:ka ya. Xmose:wi.	te acuestas ya. Descansa.
Entó:s komo mitsna:miki sepa t'te:mo:ti wa:n sepa t'chi:wa iwki.	Entonces si te hacen efecto vuelves a buscar otras hojas y cubres otra vez la parte afectada.
No: se: mowelita, se: pahti a. Ma:ski xiwtsí:n sah, pero onkak tana:miki. Mm.	Uno se siente contento de haber mejorado. Aunque sean puras hojitas pero a veces hacen efecto. Mm.
xa:lkapolin.	flores de xa:lkapolin.
No: mochi:wa mahyá: se: ta:lkwitaxkol sah.	También son como una lombríz de tierra.
No: ihkó:n mochi:wa n' iteyotsi:n.	Las semillas también se dan así.
komohkó:n ne: kemeh i:n nikilia neh i:ksá: neli,	 si como digo yo, este a veces es cierto que, 
titi:ka, se: mometskokowa wa:n titi:ka,	se hincha, uno se lastima el pie y se hincha,  
Mm. Kaxa:ni. Kaxa:ni.	Mm. Se desinflama. Se desinflama.
Ke:mah kaxa:ni wa:n,	Si se desinflama y,
Pos,	Pues,
ohonkak neli nikahkwí:n ihkó:n mochi:wa pero pos,	de verdad si hay pero pues,
Pahtsí:n. Pahtsí:n ma:ski xiwtsí:n sah, pero pahtsí:n. Wa:n no: yetok sah kati:ni ne:n	Es medicinal. Es medicinal aunque sea una plantita pero es buena. Y son así como seleccionadas las que
katí:n tana:miki wa:n kati:ni, ne:n, a:mo tana:miki.	curan una enfermedad y otras son las que no son medicinales.
i:ksá: ihkó:n, ka:n se: kinehnektok pero neli ke:meh i:n,	a veces uno no lo está deseando pero cuando algo
yehwa sah yo:n ne: pos te:na:miki a.	con esas plantas se cura uno.
Se: pachiwi a ka:mpa nejó:n se: titi:ka. Ke:mah. Mm.	Se desinflama la parte afectada. Así es. Mm.
a:mo nochipa wel tiwi:tseh. Mm.	no siempre podemos venir. Mm.
para ika se: mopahtia pero pos neli nejó:n,	que sirven para curar pero pues es cierto que,
ika yo:li:k se: ki:xmattiw xiwtsí:n wa:n,	se van conociendo las plantitas y,
Kanah.	No.
neh ke:meh nikilia nika:n, ne:n,	yo como le digo aquí al, 
tein, ne:n, kiliah xoko:kkapolxiwit.	a la planta que le llaman xoko:kkapolxiwit.
wa:n tiktehtekih,	las cortamos
'Mohsa, ximohsa, komo tehsá: mitskokowa xmohsa.	Si tienes un dolor en alguna parte, ponte como si fuera pomada.
Ke:mah, miak taman.	Sí, hay muchas.
Pos,	Pues,
ke:mah, mah se: motapowi, se: motapowi, ka:n teh nió:n no: te:kwala:ntih	sí, hay que platicarlo, debemos platicar, no se pierde nada ni es molesto
Ke:mah, se: motapowi.	Sí hay que platicarlo.
para timose:panpale:wi:skeh.	para ayudarnos unos a otros. 
ke:mah ne: tine:chkaya:wako i:n,	invitarnos a platicar este,
pos ne: ka:mpa tehwa:n,	en donde nosotros, 
neli tikchi:wah xiwpahtsitsí:n, yehwa sah n' tehwa:n tame:chilwiah.	hacemos los medicamentos preparados con hierbas, sólo eso les platicamos nosotros. 
Ne:n,wa:n,	Este y,
pos tasohka:matik, ke:mah.	pues de veras muchas gracias.
Neh niwi:tsa de ne: San Miguel Tzinacapan	Yo vengo de San Miguel Tzinacapan
wa:n noto:ka:y ne: María Juárez Salgado.	mi nombre es María Juárez Salgado.
Tasohka:matik.	Gracias.
A:man na:nah xte:chtapowi de yo:n komekat ohti mochi:wa kiliah a:ki:tsmekat,	Ahora señora platícanos del bejuco que se da a orillas de camino que le llaman a<i>a:ki:tsmekat</i>,
ke:niwki ox xo:chiowa, teyowa wa:n toni n' kwaltia.	Cómo es, si florece, produce frutos y para qué se usa.
Teyowa wa:n xo:chiowa.	La planta florece y produce frutos.
i:pa para a:wi:l sah. Tikteki wa:n t'wi:katinemi mahyá: a:wiltsí:n.	sólo se puede usar para jugar. Cortas los frutos y los andas llevando como si fueran juguete.
A:mo. Onkak notikwa:pan.	No. Esta planta se da por el lado de arriba de mi casa.
ompa moi:xkahkalakia ya wa:n sepa tiowih, tiowih para ahko.	ahí se enraíza y vuelve a subir arriba sobre otras plantas.
Ke:mah, a:mo, a:mo, a:mo poliwi yo:n.	Sí, no, no esa planta no es fácil que se seque.
Wa:n komo ta:ká:n tikoto:nak teihsá: tein tikwa:s wa:n tein titai:s,	Y si cortaste alguna planta que es comestible o se usa para preparar algo de tomar,
Pero ne: yo:n kwomekatsí:n a:mo	Pero ese bejuquito no
pos nochi ompa mopacha:nia ya wa:n ompa ne: sepa monalwayo:tia itampa,	pues otra vez empieza a enraízar desde abajo y se vuelve a extender la mata,
monalwayo:tia itampa wa:n ke:mah senolo:chpanki:sa ya.	se enraíza y vuelven a subir los retoños.
¿Wa:n ikomekayo, ke:niwki?	¿Y cómo es el bejuco?
Mm. Mahyá:, mahyá: ne:,	Mm. Como si fuera este,
¿Wa:n ixiwyo?	¿Y sus hojas?
Ixiwyo semi ehe:yi no: mochi:wa, ehe:yi sah.	Pues tiene tres hojas también, tres hojas.
a:mo mone:neki.	no se chiquea la planta.
Mm. Pero komo t'tamo:tak, ne:n,	Mm. Pero si tiraste este,
mah sepa monalwayo:ti.	se vuelva a enraízar.
tikta:ki:ltia,	lo puedes sembrar para producir
we:lik para tapalo:ltsí:n,	puedes usarlas para preparar comida,
we:lik para titakwa:s.	es comestible.
Nió:n tei, nió:n tei.	Para nada, para nada.
Mm. Onkak notikwa:pan.	Mm. Se da por el lado de arriba de mi casa.
I:pa a:mo nikihto:s wehka ne:chpolo:s.	No puedo decir que tengo que ir lejos.
¿Wa:n ixo:chio ke:niwki?	¿Y sus flores cómo son? 
Ixo:chio mahyá: yo:n weh mopilowa.	Sus flores se dan así como si se fueran colgando.
Se: malakachtsí:n no: mochi:wa ihkó:n.	Se dan así como como en forma de un racimo redondo.
i:pa a:mo, i:pa a:mo wetsi, ne:n, xo:chitsí:n para mah, mah a:mo mochi:wa n' iteyo.	no se caen, no caen las florecitas para que, que no, para que se den los frutos.
iwki ihkó:n mochi:wa n' iteyo, se: malakachtsí:n no:.	ahí se van colgando también los frutos como un racimo redondo. 
Mm. Wa:n iteyo,	Mm. Y los frutos,
¿No: oksi?	¿También maduran?
Tihti:le:wi, tihti:le:wi.	Son de color negro, son de color negro.
Mahyá: yo:n ne: kapolin de, ne:n, yo:n ixta:wat mochi:wa.	Como si fueran los capulines que se, que se dan en el potrero.
Ti:le:wi, ti:le:wi kwaltsi:n, kwaltsi:n no: tihti:le:wi, pos neli a:mo,	Son de color negro bonitos, de color negro bonitos, pero es cierto que no,
a:mo teh kwaltia para tikwa:s, nió:n para kwaltia para 'tai:s.	no son comestibles ni para preparar algo de tomar.
Yo:n i:pa tamela:wa a:wil sah.	Los frutos sólo se puede usar para jugar.
nota:tahtsi:n, xkololo nikilia wa:n x'chichino seko sah.	esposo que levante todo el bejuco y que lo queme en un lugar.
Yo:n a:mo kineki,	Esa planta no quiere,
mopilo:s seko sah, yo:n mopilo:s wehkapan ma:ski,	no se extiende por una sola parte, se enreda hasta en las alturas aunque 
wehkapan pero wa:la:s, wa:la:s, iwki moitsmolo:tihtiwa:la:s,	sea muy alto pero vienen bajando las raíces,
Kikwah chiktehmeh. Chikteh kikwa.	Los pájaros se alimentan de esos frutos. El pájaro se alimenta.
Mm. Yehwa ya n' kikwah, yehwa ya n' ke:meh eskia inalmasa:l a no: yehwa:n.	Mm. Los pájaros se alimentan de esos frutos, los toman como si fuera su almuerzo.
Xokomekat ke:mah, pos yehwa nimitsilihtok pahti.	El <i>xokomekat</i> lo conozco, ese se puede usar para curar.
Xokomekat yeh ne:,	El <i>xokomekat</i> este,
mm, yeh mochi:wa kowtah.	mm, se da en el bosque.
pero yehwa 'tai:s. Sake:ra ohpa 'tai:s oso e:xpa 'tai:s,	pero ese es el que debes de tomar. Tienes que tomar dos o tres veces,
Mm. Yehwa ne: wehka:w ta:tahmeh ika tikitayah kimpahtia:yah n' kone:meh.	Mm. Hace muchos años veíamos a nuestros abuelos que usaban esa planta para curar a los niños.
tak neli ka:mpa ya se: moxi:xak. Ma:ski kownexi:xko neh nimoxi:xtos.	creo que uno se orina en cualquier lugar. Yo no me cuido y me orino encima de un montón de cenizas.
Entó:s ika nimoskaltih yo:n kokolis wa:n yehwa ya neh ne:chtai:ltihkah.	Entonces yo padecí de esa enfermedad y me dieron de tomar.
mah mitska:wa n' toto:nik moihtik.	que te baje la fiebre.
Mitska:wa n' toto:nik moihtik pos no: titamati:ya ya.	Cuando se te baja la fiebre pues ya te sientes bien.
pe:wak, sepa nipe:wak pero i:pa ninani:tah ya.	empecé otra vez pero ya en mi vejés.
Wa:n ke:mah nitai.	Y luego me la tomo.
ika miak ke:meh eskia talna:miki:lis. Mm.	con muchos esfuerzos. Mm.
Ne: xokomekat, ¿ke:niwki ne:n ixiwyo?	Y el <i>xokomekat</i> ¿cómo son sus hojas?
Xokomekat ixiwyo ne:,	Las hojas del <i>xokomekat</i> este,
mahmaxaltik no:. Ta: no: mochi:wa momahmaxalowa. Mm.	son como separadas las puntas. También tiene separadas las puntas de las hojas. Mm.
ihkó:n tamatte:wasneki no: n' okseki pero yeh ne:,	casi se parecen pero las hojas de la otra planta este,
i:n yeh ahalaxtik.	son lisas.
Wa:n okseki yeh a:mo ahalaxtik. Uhuh.	Y estas otras no están lisas. Uhuh.
A:, Xaltipan wa:n María Ocotlán.	Soy María Ocotlán, vengo de Xaltipan.
ke:niwkitik ita:kka, ke:niwkitik ne:n ixo:chio.	cómo son sus frutos, cómo son sus flores.
ka:nachi taman ne:n i:n itskwinpahwits tein teh tiki:xmattok.	cuántos tipos de <i>itskwinpahwits</i> conoce usted.
se: koma:ltapalkatsi:n ki, kita:liah itech n' te, tekol wa:n ke:mah ompa kike:kepah.	ponen sobre las brazas un pedazo de comal, luego se pone la hoja sobre el comal y se voltea varias veces.  
Hkó:n kwaltsi:n kixakwalowah kima:patskatiowih xiwit ihkó:n	Así van frotando muy bien el cuerpo del bebé como si fueran exprimiendo las hojas
wa:n ke:mah kixakwalowah, kixakwalowah, Ke:mah ne:pa kita:liah ya xiwtsí:n ke:mah ihkwi:n kichhi:wa ya.	así van frotando, van frotando. Luego ponen la hoja por allá para sacudirlo después.
